abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization
"1,534 retired from Army under Govt plan to drop 30,000",https://www.nytimes.com/1960/12/28/archives/seoul-cuts-1534-from-army.html,"1,534 retired from Army under Govt plan to drop 30,000",,food fashions family furnishings,31,The New York Times,[],"[{'name': 'subject', 'value': 'Korean War', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED NATIONS FORCES', 'rank': 2, 'major': 'N'}]",1960-12-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/ca7b8ac2-5e94-5391-a035-7919d87cc78b,0,nyt://article/ca7b8ac2-5e94-5391-a035-7919d87cc78b,"Seoul Cuts 1,534 From Army",,,"Seoul Cuts 1,534 From Army",,,,,[],
"US as 'main aggressive force' assailed, Moscow, by Pravda and Liu; Liu concedes war is avoidable",https://www.nytimes.com/1960/12/08/archives/soviet-bids-un-compel-us-troops-to-quit-korea-sharp-statement.html,"US as 'main aggressive force' assailed, Moscow, by Pravda and Liu; Liu concedes war is avoidable",,,1,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'COMMUNISM', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'UNIFICATION', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'BIG POWERS (FRANCE, GB, USSR AND US) MUTUAL RELATIONS AND COLD WAR', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'EAST-WEST RELATIONS (GEN)', 'rank': 6, 'major': 'N'}]",1960-12-08T05:00:00+0000,article,None,Archives,Archives,nyt://article/1a139f74-aa2d-5b3e-9d8d-c6e86e3c5459,0,nyt://article/1a139f74-aa2d-5b3e-9d8d-c6e86e3c5459,"Soviet Bids U.N. Compel U.S. Troops to Quit Korea; Sharp Statement, Linked to Decisions at Communist Parley, Charges That Unification Is Being Blocked MOSCOW SAYS U.S. BARS KOREA UNITY",,,"Soviet Bids U.N. Compel U.S. Troops to Quit Korea; Sharp Statement, Linked to Decisions at Communist Parley, Charges That Unification Is Being Blocked MOSCOW SAYS U.S. BARS KOREA UNITY",,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Pres Chang repts Govt will seek aid from W Ger and Japan to lessen dependence on US,https://www.nytimes.com/1960/12/23/archives/seoul-to-seek-more-aid-plans-moves-aimed-to-reduce-dependence-on-us.html,Pres Chang repts Govt will seek aid from W Ger and Japan to lessen dependence on US,,,3,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}]",1960-12-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/eb547acd-51f3-5cbe-a4cf-6f0b9fee8ab7,0,nyt://article/eb547acd-51f3-5cbe-a4cf-6f0b9fee8ab7,SEOUL TO SEEK MORE AID; Plans Moves Aimed to Reduce Dependence on U.S.,,,SEOUL TO SEEK MORE AID; Plans Moves Aimed to Reduce Dependence on U.S.,,,,,[],
"Truman declines further comment; says 'history will take care of controversy,'",https://www.nytimes.com/1960/12/25/archives/truman-takes-air-and-airs-his-views.html,"Truman declines further comment; says 'history will take care of controversy,'",,,29,The New York Times,[],"[{'name': 'persons', 'value': 'TRUMAN, HARRY S.', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'GENERAL', 'rank': 3, 'major': 'N'}]",1960-12-25T05:00:00+0000,article,None,Archives,Archives,nyt://article/63a7afdc-37f5-5e72-b463-3e030f570a30,0,nyt://article/63a7afdc-37f5-5e72-b463-3e030f570a30,"TRUMAN TAKES AIR, AND AIRS HIS VIEWS",,,"TRUMAN TAKES AIR, AND AIRS HIS VIEWS",,,,,[],
"Truman declines further comment; says 'history will take care of controversy,'",https://www.nytimes.com/1960/12/24/archives/truman-calls-halt-to-marthur-debate.html,"Truman declines further comment; says 'history will take care of controversy,'",,,2,The New York Times,[],"[{'name': 'subject', 'value': 'Korean War', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'GENERAL', 'rank': 2, 'major': 'N'}]",1960-12-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/deb09248-4d49-5154-9679-a4a1f9942108,0,nyt://article/deb09248-4d49-5154-9679-a4a1f9942108,TRUMAN CALLS HALT TO M'ARTHUR DEBATE,,,TRUMAN CALLS HALT TO M'ARTHUR DEBATE,,,,,[],
Gen MacArthur denies ex-Pres Truman TV int charge that he wanted to use A-bomb against Communist China and E Russia; says records will show atom bombing was never discussed; TV int excerpts,https://www.nytimes.com/1960/12/23/archives/marthur-denies-truman-charge-expresident-says-general-wished-to-use.html,Gen MacArthur denies ex-Pres Truman TV int charge that he wanted to use A-bomb against Communist China and E Russia; says records will show atom bombing was never discussed; TV int excerpts,,,7,The New York Times,[],"[{'name': 'subject', 'value': 'Korean War', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'GENERAL', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""MACARTHUR OUSTER ('51)"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'MILITARY ACTION', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'ATOMIC WEAPONS', 'rank': 6, 'major': 'N'}]",1960-12-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/794ed53c-d221-5b22-bbcc-54c2b5f452ef,0,nyt://article/794ed53c-d221-5b22-bbcc-54c2b5f452ef,M'ARTHUR DENIES TRUMAN CHARGE; Ex-President Says General Wished to Use A-Bomb on China and East Russia,,,M'ARTHUR DENIES TRUMAN CHARGE; Ex-President Says General Wished to Use A-Bomb on China and East Russia,,,,,[],
UN accuses NK of 592 violations in 7 yrs,https://www.nytimes.com/1960/11/30/archives/un-accuses-korean-reds.html,UN accuses NK of 592 violations in 7 yrs,,,29,The New York Times,[],"[{'name': 'subject', 'value': 'Korean War', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'TRUCE', 'rank': 2, 'major': 'N'}]",1960-11-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/19639387-2cb2-5016-8ca5-0e88edbc35e0,0,nyt://article/19639387-2cb2-5016-8ca5-0e88edbc35e0,U.N. Accuses Korean Reds,,,U.N. Accuses Korean Reds,,,,,[],
,https://www.nytimes.com/1960/11/29/archives/korea-penal-amendment-gains.html,,,,4,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}]",1960-11-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/67645454-5c34-55f4-97b9-fbf2084bb086,0,nyt://article/67645454-5c34-55f4-97b9-fbf2084bb086,Korea Penal Amendment Gains,,,Korea Penal Amendment Gains,,,,,[],
"House adopts bill abolishing for 7 yrs rights of 1,500 officials who served under Rhee",https://www.nytimes.com/1960/12/06/archives/rhee-aides-lose-civil-rights-seoul-korea-dec-5-reut-ersthe-house-of.html,"House adopts bill abolishing for 7 yrs rights of 1,500 officials who served under Rhee",,,30,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}]",1960-12-06T05:00:00+0000,article,None,Archives,Archives,nyt://article/bde796b9-88b9-549d-b494-9c0a08552478,0,nyt://article/bde796b9-88b9-549d-b494-9c0a08552478,"Rhee Aides Lose Civil Rights SEOUL, Korea. Dec. 5 (Reut- ers)-The House of Represent- atives adopted a special bill to- day abolishing ""for seven; years the civil'rights of about 1,500 officials who had served under former President . Syngman Rhee.",,,"Rhee Aides Lose Civil Rights SEOUL, Korea. Dec. 5 (Reut- ers)-The House of Represent- atives adopted a special bill to- day abolishing ""for seven; years the civil'rights of about 1,500 officials who had served under former President . Syngman Rhee.",,,,,[],
,https://www.nytimes.com/1960/11/30/archives/new-charter-in-korea-president-yun-promulgates-amended-constitution.html,,,,19,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}]",1960-11-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/7783bf34-d546-5c42-8b9c-2afe062e856f,0,nyt://article/7783bf34-d546-5c42-8b9c-2afe062e856f,NEW CHARTER IN KOREA; President Yun Promulgates Amended Constitution,,,NEW CHARTER IN KOREA; President Yun Promulgates Amended Constitution,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
"Pres Yun appeals to pub to preserve order, halt rioting and violence; move follows newriot, Seoul, sparked by newspaper attack on religious sect",https://www.nytimes.com/1960/12/11/archives/seoul-arrests-1024-alter-raid-by-sect-on-newspapers-office.html,"Pres Yun appeals to pub to preserve order, halt rioting and violence; move follows newriot, Seoul, sparked by newspaper attack on religious sect",,,28,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA, SOUTH', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'KOREA', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Religion and Churches', 'rank': 4, 'major': 'N'}]",1960-12-11T05:00:00+0000,article,None,Archives,Archives,nyt://article/0a27c90c-4a40-57fd-8047-af3119bfbc32,0,nyt://article/0a27c90c-4a40-57fd-8047-af3119bfbc32,"Seoul Arrests 1,024 Alter Raid By Sect on Newspaper's Office",,,"Seoul Arrests 1,024 Alter Raid By Sect on Newspaper's Office",,,,By Reuters,[],Reuters
"Govt to get $236 million in US econ aid, fiscal '61",https://www.nytimes.com/1960/11/26/archives/korea-to-get-236000000.html,"Govt to get $236 million in US econ aid, fiscal '61",,,10,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}]",1960-11-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/d6f96c33-8d02-5add-a423-1b9db28cdd22,0,nyt://article/d6f96c33-8d02-5add-a423-1b9db28cdd22,"Korea to Get $236,000,000",,,"Korea to Get $236,000,000",,,,,[],
"US charges NK, backed by USSR and Communist China, blocks it",https://www.nytimes.com/1960/12/08/archives/us-condemns-red-stand.html,"US charges NK, backed by USSR and Communist China, blocks it",,,9,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'UNIFICATION', 'rank': 2, 'major': 'N'}]",1960-12-08T05:00:00+0000,article,None,Archives,Archives,nyt://article/19d40686-1a8d-5aca-a9a3-049af7df8ac6,0,nyt://article/19d40686-1a8d-5aca-a9a3-049af7df8ac6,U.S. Condemns Red Stand,,,U.S. Condemns Red Stand,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
"Const amendment to permit ex post facto laws to punish 'traitors of democracy approved by House, '",https://www.nytimes.com/1960/11/24/archives/korea-house-backs-retroactive-laws.html,"Const amendment to permit ex post facto laws to punish 'traitors of democracy approved by House, '",,,2,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}]",1960-11-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/b4354024-d803-563f-952d-de1076ce8585,0,nyt://article/b4354024-d803-563f-952d-de1076ce8585,KOREA HOUSE BACKS RETROACTIVE LAWS,,,KOREA HOUSE BACKS RETROACTIVE LAWS,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
T Higgins book Korea and The Fall of MacArthur revd,https://www.nytimes.com/1960/11/27/archives/behind-the-lines-policymakers-were-in-combat-too-korea-and-the-fall.html,T Higgins book Korea and The Fall of MacArthur revd,,BR,3,The New York Times,[],"[{'name': 'persons', 'value': 'HIGGINS, T', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'MacArthur, Douglas', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'BOOK REVIEWS', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'GENERAL', 'rank': 5, 'major': 'N'}, {'name': 'creative_works', 'value': 'KOREA AND THE FALL OF MACARTHUR: A PRECIS IN LIMITED WAR', 'rank': 6, 'major': 'N'}]",1960-11-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/4b863899-af5f-5315-9c5c-a5fe55909f0f,0,nyt://article/4b863899-af5f-5315-9c5c-a5fe55909f0f,"Behind the Lines, Policymakers Were in Combat Too; KOREA AND THE FALL OF MACARTHUR: A Precis in Limited War. By Trumbull Higgins. 229 pp. New Volt: Oxford University Press. $5.",,,"Behind the Lines, Policymakers Were in Combat Too; KOREA AND THE FALL OF MACARTHUR: A Precis in Limited War. By Trumbull Higgins. 229 pp. New Volt: Oxford University Press. $5.",,,,By Lynn Montross,"[{'firstname': 'Lynn', 'middlename': None, 'lastname': 'Montross', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
replaced as 5th Army comdr,https://www.nytimes.com/1960/12/03/archives/pacific-chief-of-staff-is-named-first-to-come-from-the-army-gen.html,replaced as 5th Army comdr,,,8,The New York Times,[],"[{'name': 'glocations', 'value': 'RYUKYU ISLANDS', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'SINK, ROBERT F.', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'ARNOLD, WM H.', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'ARMY', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'PERSONNEL CHANGES', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'NAVY', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED NATIONS FORCES', 'rank': 10, 'major': 'N'}]",1960-12-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/3cbe34cb-e540-5bc1-b247-9cc6a0ef4820,0,nyt://article/3cbe34cb-e540-5bc1-b247-9cc6a0ef4820,Pacific Chief of Staff Is Named; First to Come From the Army; Gen. Barnes Chosen -- U.S. Issues List of Command Shifts and Promotions,,,Pacific Chief of Staff Is Named; First to Come From the Army; Gen. Barnes Chosen -- U.S. Issues List of Command Shifts and Promotions,,,,,[],
