abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section
current reduction in US forces provokes serious doubts among S Koreans over US readiness to come to its aid; Korean and US officials speak openly of major differences of view; Premier Chung Il Kwon declines comment; S Korean Joint C/S chmn Gen Shim Heung Sun and other Korean officials hold reduction in forces has been badly timed and not accompanied by proper assurances that US will fill breach; US officials hold view that S Koreans exaggerate threat from N Korea,https://www.nytimes.com/1970/11/29/archives/koreans-dubious-on-intent-of-us-credibility-gap-develops-in-wake-of.html,current reduction in US forces provokes serious doubts among S Koreans over US readiness to come to its aid; Korean and US officials speak openly of major differences of view; Premier Chung Il Kwon declines comment; S Korean Joint C/S chmn Gen Shi...,"SEOUL, South Korea, Nov. 24—The current reduction of United States forces in South Korea has provoked serious doubts over American readi ness to come promptly to the defense of this country and leading Korean and United States officials speak openly of significant differences of view between Seoul and Washing ton. ",109,The New York Times,[],"[{'name': 'subject', 'value': 'Korean War', 'rank': 1, 'major': 'N'}]",1970-11-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/dc18b1f0-536e-5a19-a6fb-ceed1e8b89c5,959,nyt://article/dc18b1f0-536e-5a19-a6fb-ceed1e8b89c5,KOREANS DUBIOUS ON INTENT OF U.S.,,,KOREANS DUBIOUS ON INTENT OF U.S.,,,,,[],,
"HR Appropriations Com, with Adm support, maneuvers to get Cong approval of large-scale mil aid for Cambodia without waiting for authorizing legis; Fulbright criticizes maneuver, int; HR passes $550-million aid bill, including $255-million for Cambodia, defeats Findley amendment",https://www.nytimes.com/1970/12/10/archives/house-group-acts-to-win-approval-of-cambodia-aid-appropriation.html,"HR Appropriations Com, with Adm support, maneuvers to get Cong approval of large-scale mil aid for Cambodia without waiting for authorizing legis; Fulbright criticizes maneuver, int; HR passes $550-million aid bill, including $255-million for Camb...","WASHINGTON, Dec. 9 — With Administration support, the House Appropriations Com mittee set in motion today legislative maneuver around the Senate Foreign Relations Committee to obtain Congres sional approval of a large‐scale military aid program for Cam bodia. ",1,The New York Times,[],"[{'name': 'glocations', 'value': 'Vietnam', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Vietnam', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Vietnam', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'JORDAN, HASHEMITE KINGDOM OF', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Lebanon', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'INDONESIA, REPUBLIC OF', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Middle East', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Cambodia', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'GENERAL POLICIES OF BELLIGERENTS, OTHER MAJOR POWERS', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'MILITARY BUILDUP, AID, LONG-RANGE PLANNING', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'TROOPS WITHRAWAL', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Foreign Aid', 'rank': 13, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 14, 'major': 'N'}, {'name': 'subject', 'value': 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'rank': 15, 'major': 'N'}, {'name': 'subject', 'value': 'ISRAELI-ARAB CONFLICT', 'rank': 16, 'major': 'N'}, {'name': 'subject', 'value': 'D 1 PAR', 'rank': 17, 'major': 'N'}]",1970-12-10T05:00:00+0000,article,None,Archives,Archives,nyt://article/0853861e-e2f4-51d7-ba26-25e60f31c844,852,nyt://article/0853861e-e2f4-51d7-ba26-25e60f31c844,HOUSE GROUP ACTS TO WIN APPROVAL OF CAMBODIA AID,,,HOUSE GROUP ACTS TO WIN APPROVAL OF CAMBODIA AID,,,,By John W. Finney; Special to The New York Times,"[{'firstname': 'John', 'middlename': 'W.', 'lastname': 'Finney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"N and S Korean troops fight 9-hr series of gun battles across a border river, along western sector of truce line; 5 S Koreans reptdly wounded",https://www.nytimes.com/1970/12/06/archives/north-korea-asks-return-of-pilot-but-south-declares-major-defected.html,"N and S Korean troops fight 9-hr series of gun battles across a border river, along western sector of truce line; 5 S Koreans reptdly wounded","PANMUNJOM, Korea, Dec. —North Korea repeatedly de manded today the return of one of its pilots who flew to South Korea in a MIG fighter Thurs day. ",26,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'NORTH', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 3, 'major': 'N'}]",1970-12-06T05:00:00+0000,article,None,Archives,Archives,nyt://article/807af828-2055-5978-b735-c2218eaf37db,346,nyt://article/807af828-2055-5978-b735-c2218eaf37db,NORTHKOREA ASKS RETURN OF PILOT,,,NORTHKOREA ASKS RETURN OF PILOT,,,,,[],,
Communist China quietly drops its long-standing claim for cession of 100-sq-mi strip of N Korean territory in Mt Paektu area which it had sought as 'fraternal compensation' for Chinese participation in Korean War; Chinese decision reptdly stems from recent exch of goodwill delegations; map,https://www.nytimes.com/1970/11/23/archives/peking-drops-claim-to-korean-area.html,Communist China quietly drops its long-standing claim for cession of 100-sq-mi strip of N Korean territory in Mt Paektu area which it had sought as 'fraternal compensation' for Chinese participation in Korean War; Chinese decision reptdly stems fr...,"HONG KONG, Nov. 22— Peking has quietly dropped its long‐standing claim for cession of a 100‐square‐mile strip of North Korean terri tory in the Mount Paektu area bordering Manchuria. ",5,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'NORTH', 'rank': 2, 'major': 'N'}]",1970-11-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/758cb2d7-c032-50f8-aa7f-5716f04fc820,141,nyt://article/758cb2d7-c032-50f8-aa7f-5716f04fc820,Peking Drops Claim to Korean Area,,,Peking Drops Claim to Korean Area,,,,,[],,
"S Korea repts N Korean Air Force pilot, flying USSR-built MIG fighter, defects to S Korea",https://www.nytimes.com/1970/12/03/archives/seoul-reports-a-defection.html,"S Korea repts N Korean Air Force pilot, flying USSR-built MIG fighter, defects to S Korea","SEOUL, South Korea, Thurs day, Dec. 3, (Reuters) — The South Korean Defense Ministry announced that a North Korean Air Force pilot, flying a Rus sian‐built MIG fighter, today defected to South Korea. ",12,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'NORTH', 'rank': 2, 'major': 'N'}]",1970-12-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/b578bf96-f2f3-50b5-b614-3add6c82d1f0,43,nyt://article/b578bf96-f2f3-50b5-b614-3add6c82d1f0,Seoul Reports a Defection,,,Seoul Reports a Defection,,,,,[],,
"current scene at mil demarcation line, Panmunjom, described; illus",https://www.nytimes.com/1970/11/21/archives/korean-reds-make-panmunjom-a-grim-place-for-gis.html,"current scene at mil demarcation line, Panmunjom, described; illus","PANMUNJOM, Korea, Nov. 18 — American guards here are pitching horseshoes and kicking a football around un der a wintry sky and the watchful glares of their North Korean counterparts.",12,The New York Times,[],"[{'name': 'subject', 'value': 'Korean War', 'rank': 1, 'major': 'N'}]",1970-11-21T05:00:00+0000,article,None,Archives,Archives,nyt://article/882ac065-69e6-5c9c-aeeb-808fcb31813c,1004,nyt://article/882ac065-69e6-5c9c-aeeb-808fcb31813c,Korean Reds Make Panmunjom a Grim Place for G.I.'s,,,Korean Reds Make Panmunjom a Grim Place for G.I.'s,,,,,[],,
Chile's formal withdrawal from UN Comm on Unification and Rehabilitation of Korea viewed as tacit recognition of N Korea,https://www.nytimes.com/1970/11/18/archives/chile-quits-panel-of-the-un-on-korea.html,Chile's formal withdrawal from UN Comm on Unification and Rehabilitation of Korea viewed as tacit recognition of N Korea,"SANTIAGO, Chile, Nov. 17— The new Chilean Government today formally withdrew from a United Nations commission on Korea in a move that was interpreted as tacit recognition of the Communist Govern ment of North Korea. ",12,The New York Times,[],"[{'name': 'glocations', 'value': 'Chile', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Chile', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Chile', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'KOREA', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'KOREA', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'NORTH', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'United Nations', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'KOREA, COMMISSION ON THE UNIFICATION AND REHABILITATION OF', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'COMMERCE', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'UNIFICATION', 'rank': 10, 'major': 'N'}]",1970-11-18T05:00:00+0000,article,None,Archives,Archives,nyt://article/fa9b7fb7-7132-50fa-a85d-5f4c7c67308d,216,nyt://article/fa9b7fb7-7132-50fa-a85d-5f4c7c67308d,CHILE QUITS PANEL OF THE U.N. ON KOREA,,,CHILE QUITS PANEL OF THE U.N. ON KOREA,,,,,[],,
article on role of Amer soldiers at demilitarized zone; some give their views; map,https://www.nytimes.com/1970/11/18/archives/gis-at-korean-dmz-glad-theyre-not-in-vietnam.html,article on role of Amer soldiers at demilitarized zone; some give their views; map,"AT THE DEMILITARIZED ZONE, South Korea, Nov. 17— Life is dreary in late fall in the bleak hills where American and North Korean troops face each other without seeing each other and when there is only the icy Manchurian winter to look for ward to. ",5,The New York Times,[],"[{'name': 'subject', 'value': 'Korean War', 'rank': 1, 'major': 'N'}]",1970-11-18T05:00:00+0000,article,None,Archives,Archives,nyt://article/5d9c923b-6d61-577b-b31b-d8706706e8ba,926,nyt://article/5d9c923b-6d61-577b-b31b-d8706706e8ba,G.I.'s at Korean DMZ Glad They're Not in Vietnam,,,G.I.'s at Korean DMZ Glad They're Not in Vietnam,,,,By Henry Kamm Special to The New York Times,"[{'firstname': 'Henry', 'middlename': 'Kamm', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
Oakes describes air of unreality at so-called demilitarized zone and prevailing nervous atmosphere of frontline with its constant threat of confrontation between Amers and N Koreans; map,https://www.nytimes.com/1970/11/24/archives/all-quiet-along-the-other-dmz-watch-on-the-line-between-two-worlds.html,Oakes describes air of unreality at so-called demilitarized zone and prevailing nervous atmosphere of frontline with its constant threat of confrontation between Amers and N Koreans; map,"SEOUL, Korea — The disclosure a few days ago that the United States Second Infantry Division is going to be withdrawn from its frontline positions in Korea reminded a great many Americans who had forgotten all about it that there is in fact a frontline in Korea and that American troops have formed part of it for more than twenty years. The Korean War came to a halt —though not to an end—in July, 1953; but ever since, that war has been in state of suspended animation with strange life of its own. Along the sta tionary frontline runs an undercurrent of tension; American soldiers confront Communist soldiers; small but bloody encounters occasionally erupt; there are the elements of war without a war. ",41,The New York Times,[],"[{'name': 'subject', 'value': 'NEW YORK TIMES', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'SURVEYS AND SERIES OF ARTICLES', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 3, 'major': 'N'}]",1970-11-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/f07b61d6-fbaf-59ee-843f-fa2904842768,1050,nyt://article/f07b61d6-fbaf-59ee-843f-fa2904842768,All Quiet Along the Other DMZ,,,All Quiet Along the Other DMZ,,,,By John B. Oakes,"[{'firstname': 'John', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"Camp Kaiser closes, 1st major Amer mil installation in S Korea to be abandoned in line with reduction of US forces; adjacent town of Unchon despairs; 10,000 of its 18,000 people have depended for their income entirely on Amers; impact on all aspects of life in town described",https://www.nytimes.com/1970/11/16/archives/korean-town-plunged-into-despair-as-a-us-camp-is-closed.html,"Camp Kaiser closes, 1st major Amer mil installation in S Korea to be abandoned in line with reduction of US forces; adjacent town of Unchon despairs; 10,000 of its 18,000 people have depended for their income entirely on Amers; impact on all aspec...","UNCHON, South Korea, Nov. 15—At 2 o'clock this afternoon, Mayor Lee Chin Ho pronounced Specialist 5 Brett R. Hulen of Moab, Utah, and Song Jung Ok man and wife. Then he rushed to Camp Kaiser, separated from Un chon by a wire fence, and presented to Maj. Gen. Harold G. Moore Jr. a wreath accom panied by a sign handprinted in English that began: ",10,The New York Times,[],"[{'name': 'subject', 'value': 'Korean War', 'rank': 1, 'major': 'N'}]",1970-11-16T05:00:00+0000,article,None,Archives,Archives,nyt://article/36cd9110-6ae3-5315-954d-64262e2b4bd1,930,nyt://article/36cd9110-6ae3-5315-954d-64262e2b4bd1,Korean Town Plunged Into Despair as a U.S. Camp Is Closed,,,Korean Town Plunged Into Despair as a U.S. Camp Is Closed,,,,By Henry Kamm Special to The New York Times,"[{'firstname': 'Henry', 'middlename': 'Kamm', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
