abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,subsection_name
"  The Supreme Court today let stand an appeals court ruling that threw out an award of $50 million in punitive damages against Korean Air Lines over the 1983 Soviet downing of an airliner that killed 269 people.   But in upholding a companion appellate ruling that the KAL crew was guilty of misconduct, the Justices allowed survivors of the victims to sue the airline for compensatory damages beyond the $75,000 allowed in an international treaty on air travel.",https://www.nytimes.com/1991/12/03/us/korean-air-disaster-ruling-stands.html,,The Supreme Court today let stand an appeals court ruling that threw out an award of $50 million in punitive damages against Korean Air Lines over the 1983 Soviet downing of an airliner that killed 269 people.,B,10,The New York Times,[],"[{'name': 'glocations', 'value': 'UNION OF SOVIET SOCIALIST REPUBLICS', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Korean Air Lines', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Supreme Court', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'DAMAGE SUITS', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Decisions and Verdicts', 'rank': 7, 'major': 'N'}]",1991-12-03T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/fd4477a8-3082-5434-88ee-5194a83e0c3a,245,nyt://article/fd4477a8-3082-5434-88ee-5194a83e0c3a,Korean Air Disaster Ruling Stands,,,Korean Air Disaster Ruling Stands,,,,Reuters,[],Reuters,
"  For more than a decade American intelligence experts scrutinized their satellite photographs as North Korea, piece by painstaking piece, assembled a giant nuclear complex in a river valley just outside a small town called Yongbyon. From the start, there was little doubt what the pictures meant: Kim Il Sung, North Korea's aging ""Great Leader,"" was pursuing a dream to build the bomb, a dream that dates to the Korean War.   But only now, when Mr. Kim is frightfully close to putting together a weapon -- three years at the outside, say the experts, maybe much sooner -- is the Bush Administration declaring that a nuclear-armed North Korea would be ""the most serious threat to peace and stability"" in Asia. With great fanfare Secretary of State James A. Baker 3d recently urged a reluctant China to join Japan and the Soviet Union in a diplomatic effort to isolate North Korea until it abandons its nuclear ambitions, no easy task when dealing with what is already one of the world's most isolated nations.",https://www.nytimes.com/1991/12/01/weekinreview/the-world-delay-on-north-korea-leaves-nasty-choices.html,,"For more than a decade American intelligence experts scrutinized their satellite photographs as North Korea, piece by painstaking piece, assembled a giant nuclear complex in a river valley just outside a small town called Yongbyon. From the start, there was little doubt what the pictures meant: Kim Il Sung, North Korea's aging ""Great Leader,"" was pursuing a dream to build the bomb, a dream that dates to the Korean War.",4,4,The New York Times,[],"[{'name': 'glocations', 'value': 'North Korea', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ATOMIC WEAPONS', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Intelligence Services', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 7, 'major': 'N'}]",1991-12-01T05:00:00+0000,article,Week in Review Desk,Week in Review,News,nyt://article/5b2e0519-768e-5a5f-9e20-b7e6fc903f58,1147,nyt://article/5b2e0519-768e-5a5f-9e20-b7e6fc903f58,Delay on North Korea Leaves Nasty Choices,THE WORLD,,THE WORLD; Delay on North Korea Leaves Nasty Choices,,,,By David E. Sanger,"[{'firstname': 'David', 'middlename': 'E.', 'lastname': 'Sanger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"  Revolutionary slogans are strung across drab office buildings and apartments. Loudspeakers exhort workers with picks and shovels at construction sites to toil for the glory of President Kim Il Sung. Statues and pictures of the ""Great Leader"" beckon everywhere.   North Korea is the land that the 1990's forgot. Seemingly immune to the historic forces toppling or weakening Communist systems throughout the world, officials here speak of ""mistakes"" made by other Communist governments that they can avoid.",https://www.nytimes.com/1991/12/23/world/no-headline-631691.html,,"Revolutionary slogans are strung across drab office buildings and apartments. Loudspeakers exhort workers with picks and shovels at construction sites to toil for the glory of President Kim Il Sung. Statues and pictures of the ""Great Leader"" beckon everywhere.",A,1,The New York Times,[],"[{'name': 'glocations', 'value': 'North Korea', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Shortages', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Freedom and Human Rights', 'rank': 5, 'major': 'N'}]",1991-12-23T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/73bf51b5-0b80-5bea-bf34-47d6ad0ff0e8,1562,nyt://article/73bf51b5-0b80-5bea-bf34-47d6ad0ff0e8,No Headline,,,No Headline,,,,By Steven R. Weisman,"[{'firstname': 'Steven', 'middlename': 'R.', 'lastname': 'Weisman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"  The disintegration of the Soviet Union has raised fears that hundreds or even thousands of nuclear scientists who earn only a few dollars a month may be tempted to sell their talents to the highest bidders. Their presumed availability to renegade nations or terrorists causes almost as much concern as the problem of controlling the 27,000 nuclear weapons on Soviet soil.    It's enough to conjure up the nightmares that James Bond faced in Dr. No or Ernst Stavro Blofeld, with their scores of hired hands preparing weapons of mass destruction to blackmail an unsuspecting world. But it's important to separate fact from fiction.",https://www.nytimes.com/1991/12/22/opinion/forget-dr-no.html,,"The disintegration of the Soviet Union has raised fears that hundreds or even thousands of nuclear scientists who earn only a few dollars a month may be tempted to sell their talents to the highest bidders. Their presumed availability to renegade nations or terrorists causes almost as much concern as the problem of controlling the 27,000 nuclear weapons on Soviet soil.",4,10,The New York Times,[],"[{'name': 'glocations', 'value': 'Iraq', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Iran', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'UNION OF SOVIET SOCIALIST REPUBLICS (USSR)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'ATOMIC WEAPONS', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Editorials', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 7, 'major': 'N'}]",1991-12-22T05:00:00+0000,article,Editorial Desk,Opinion,Editorial,nyt://article/d49d6153-f0e0-5525-bac6-838697b61adc,425,nyt://article/d49d6153-f0e0-5525-bac6-838697b61adc,Forget Dr. No,,,Forget Dr. No,,,,,[],,
"  In a move intended to increase pressure on North Korea to halt its nuclear weapons program, President Roh Tae Woo of South Korea announced on national television tonight that there were not now any nuclear weapons in his country.    ""As I speak, there do not exist any nuclear weapons whatsoever, anywhere in the Republic of Korea,"" Mr. Roh said.",https://www.nytimes.com/1991/12/19/world/seoul-says-it-now-has-no-nuclear-arms.html,,"In a move intended to increase pressure on North Korea to halt its nuclear weapons program, President Roh Tae Woo of South Korea announced on national television tonight that there were not now any nuclear weapons in his country.",A,3,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'ROH TAE WOO', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'ATOMIC WEAPONS', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 5, 'major': 'N'}]",1991-12-19T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/d8cf984e-b146-564c-908a-4abfc07d1727,676,nyt://article/d8cf984e-b146-564c-908a-4abfc07d1727,Seoul Says It Now Has No Nuclear Arms,,,Seoul Says It Now Has No Nuclear Arms,,,,By James Sterngold,"[{'firstname': 'James', 'middlename': None, 'lastname': 'Sterngold', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"  With the leadership of the Soviet military in doubt, American planning is increasingly focused on preventing the spread of Soviet nuclear weapons or expertise to the Middle East, North Korea or other developing nations that want atomic weapons, Administration officials said today.   ""We've watched the situation very carefully and very closely, and up till now we've been convinced that the Soviets have been able to retain control over their systems,"" Defense Secretary Dick Cheney said in an interview on the NBC News program ""Meet the Press.""",https://www.nytimes.com/1991/12/16/world/soviet-disarray-us-fears-spread-of-soviet-nuclear-weapons.html,,"With the leadership of the Soviet military in doubt, American planning is increasingly focused on preventing the spread of Soviet nuclear weapons or expertise to the Middle East, North Korea or other developing nations that want atomic weapons, Administration officials said today.",A,15,The New York Times,[],"[{'name': 'glocations', 'value': 'North Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Middle East', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'UNION OF SOVIET SOCIALIST REPUBLICS (USSR)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'ATOMIC WEAPONS', 'rank': 5, 'major': 'N'}]",1991-12-16T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/44d7f741-ea92-52c5-9001-f4b15b01566b,472,nyt://article/44d7f741-ea92-52c5-9001-f4b15b01566b,U.S. Fears Spread of Soviet Nuclear Weapons,SOVIET DISARRAY,,SOVIET DISARRAY; U.S. Fears Spread of Soviet Nuclear Weapons,,,,By Andrew Rosenthal,"[{'firstname': 'Andrew', 'middlename': None, 'lastname': 'Rosenthal', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"  The United States and South Korea said today that they would allow North Korea to inspect any civilian or military sites in the country in return for reciprocal rights in the North and an agreement that neither Seoul nor Pyongyang would produce weapons-grade plutonium.   The decision to allow the North the unusual and remarkably broad inspection rights, reached in the last two weeks and conveyed to North Korea this morning, appears intended to give the Government of President Kim Il Sung a face-saving means of backing away from its nuclear arms development program before it begins producing weapons, a step that could come in one to three years.",https://www.nytimes.com/1991/12/12/world/seoul-to-permit-nuclear-inspections.html,,The United States and South Korea said today that they would allow North Korea to inspect any civilian or military sites in the country in return for reciprocal rights in the North and an agreement that neither Seoul nor Pyongyang would produce weapons-grade plutonium.,A,3,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'KIM IL SUNG', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'ATOMIC WEAPONS', 'rank': 4, 'major': 'N'}]",1991-12-12T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/904ba745-5bf1-5c72-b05b-102e71b5e2d6,783,nyt://article/904ba745-5bf1-5c72-b05b-102e71b5e2d6,Seoul to Permit Nuclear Inspections,,,Seoul to Permit Nuclear Inspections,,,,By David E. Sanger,"[{'firstname': 'David', 'middlename': 'E.', 'lastname': 'Sanger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"  New York City police officials said yesterday that they wanted to talk with a former employee of a Brooklyn store that was the scene of vandalism and an attack on its Korean-American owner and his wife on Monday.   Deputy Inspector Thomas Green, commander of Brooklyn North detective operations, said at a news conference yesterday that the police want to talk with a former employee of the store, Lee's Fancy Fruit, at 479 Nostrand Avenue, in Bedford-Stuyvesant.",https://www.nytimes.com/1991/12/12/nyregion/police-seek-ex-worker-at-attack-site.html,,New York City police officials said yesterday that they wanted to talk with a former employee of a Brooklyn store that was the scene of vandalism and an attack on its Korean-American owner and his wife on Monday.,B,10,The New York Times,[],"[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Bedford-Stuyvesant (NYC)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': ""LEE'S FANCY FRUIT"", 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'KIM, TONG KWAN', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'KIM, OK SUN', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Korean-Americans', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Vandalism', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Food', 'rank': 8, 'major': 'N'}]",1991-12-12T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/d5aa130e-a42e-5c53-9d70-0d1beb9d6dbd,232,nyt://article/d5aa130e-a42e-5c53-9d70-0d1beb9d6dbd,Police Seek Ex-Worker at Attack Site,,,Police Seek Ex-Worker at Attack Site,,,,,[],,
"  In one of the first signs that it may be softening its hard-line position, North Korea has announced that it is ready to permit international inspection of its secret nuclear installations if the United States also allows inspections to guarantee it is removing all nuclear weapons from South Korea.   The four-point proposal was vague on some key points, leaving it uncertain how much the North Korean position had really changed. But it included what was, by North Korean standards, conciliatory language and thus represented a potentially modest easing in the verbal jousting of recent months over the inspection issue.",https://www.nytimes.com/1991/11/27/world/north-korea-to-allow-nuclear-inspections-if-us-does.html,,"In one of the first signs that it may be softening its hard-line position, North Korea has announced that it is ready to permit international inspection of its secret nuclear installations if the United States also allows inspections to guarantee it is removing all nuclear weapons from South Korea.",A,3,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'ATOMIC WEAPONS', 'rank': 4, 'major': 'N'}]",1991-11-27T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/03ece5ac-0d5c-5910-a0de-c03ec23eb0bc,593,nyt://article/03ece5ac-0d5c-5910-a0de-c03ec23eb0bc,North Korea to Allow Nuclear Inspections if U.S. Does,,,North Korea to Allow Nuclear Inspections if U.S. Does,,,,By James Sterngold,"[{'firstname': 'James', 'middlename': None, 'lastname': 'Sterngold', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"  If the world's experience in Iraq proves anything, it's that bombing can't stop The Bomb. Even the victorious allies must rely on sustained political pressure to block would-be proliferators like North Korea.    Israel's attack on Iraq's nuclear reactor in 1981 only drove the bomb-makers underground, beyond reach of Desert Storm's air armada. The painstaking nuclear archeologists of the U.N. Special Commission will keep on digging until they find what they're looking for, including evidence that Iraq has more enriched uranium stashed away.",https://www.nytimes.com/1991/12/06/opinion/stop-the-bomb-and-not-just-in-iraq.html,,"If the world's experience in Iraq proves anything, it's that bombing can't stop The Bomb. Even the victorious allies must rely on sustained political pressure to block would-be proliferators like North Korea.",A,34,The New York Times,[],"[{'name': 'glocations', 'value': 'Iraq', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'International Atomic Energy Agency', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'ATOMIC WEAPONS', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Editorials', 'rank': 6, 'major': 'N'}]",1991-12-06T05:00:00+0000,article,Editorial Desk,Opinion,Editorial,nyt://article/3a5a4900-f50e-52e1-b6df-cd6bebd23751,364,nyt://article/3a5a4900-f50e-52e1-b6df-cd6bebd23751,"Stop The Bomb, and Not Just in Iraq",,,"Stop The Bomb, and Not Just in Iraq",,,,,[],,
